?subclass	?subclassLabel
<http://www.wikidata.org/entity/Q17489339>	"historian of the modern age"@en
<http://www.wikidata.org/entity/Q17504989>	"historian of Eastern Europe"@en
<http://www.wikidata.org/entity/Q17504992>	"social historian"@en
<http://www.wikidata.org/entity/Q17504998>	"sport historian"@en
<http://www.wikidata.org/entity/Q17505002>	"historian of student"@en
<http://www.wikidata.org/entity/Q20198542>	"music historian"@en
<http://www.wikidata.org/entity/Q20669602>	"contemporary historian"@en
<http://www.wikidata.org/entity/Q20873384>	"historian of classical antiquity"@en
<http://www.wikidata.org/entity/Q20971250>	"film historian"@en
<http://www.wikidata.org/entity/Q22929895>	"medieval historian"@en
<http://www.wikidata.org/entity/Q24265174>	"philosophy historian"@en
<http://www.wikidata.org/entity/Q26132815>	"byzantinist"@en
<http://www.wikidata.org/entity/Q28950371>	"fashion historian"@en
<http://www.wikidata.org/entity/Q753110>	"songwriter"@en
<http://www.wikidata.org/entity/Q15981299>	"singer-lyricist"@en
<http://www.wikidata.org/entity/Q42909>	"reporter"@en
<http://www.wikidata.org/entity/Q589298>	"editor-in-chief"@en
<http://www.wikidata.org/entity/Q876864>	"contributing editor"@en
<http://www.wikidata.org/entity/Q947873>	"television presenter"@en
<http://www.wikidata.org/entity/Q957729>	"photojournalist"@en
<http://www.wikidata.org/entity/Q1086863>	"columnist"@en
<http://www.wikidata.org/entity/Q1771040>	"stringer"@en
<http://www.wikidata.org/entity/Q3024627>	"editorial cartoonist"@en
<http://www.wikidata.org/entity/Q3477303>	Q3477303
<http://www.wikidata.org/entity/Q3765897>	"pubblicista journalist"@en
<http://www.wikidata.org/entity/Q3765898>	"professional journalist"@en
<http://www.wikidata.org/entity/Q4220892>	"film critic"@en
<http://www.wikidata.org/entity/Q4992409>	"political editor"@en
<http://www.wikidata.org/entity/Q5338722>	"Editor-at-large"@en
<http://www.wikidata.org/entity/Q13219447>	"sports journalist"@en
<http://www.wikidata.org/entity/Q15931838>	"investigative reporter"@en
<http://www.wikidata.org/entity/Q15973695>	"political journalist"@en
<http://www.wikidata.org/entity/Q15986551>	"chess journalist"@en
<http://www.wikidata.org/entity/Q16287483>	"opinion journalist"@en
<http://www.wikidata.org/entity/Q17351648>	"newspaper editor"@en
<http://www.wikidata.org/entity/Q17433421>	"science journalist"@en
<http://www.wikidata.org/entity/Q19346706>	"US american journalist"@en
